Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Akiyama Takumi,24,10,7,0,0,1,0,539,132.2,121,18,107,25,3,3,2,43,40,2.71,3.94,3.28,1.10,128,104,90,-1.23,3.3%,19.9%,4.6%,15.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Alcantara Raul,24,3,3,0,6,0,0,243,59.1,55,6,48,14,1,0,3,25,23,3.49,3.56,3.40,1.16,99,94,93,-0.07,2.5%,19.8%,5.8%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aoyagi Koyo,25,13,6,0,0,0,0,651,156.1,143,11,104,48,8,3,0,48,43,2.48,3.72,3.94,1.22,139,98,108,-1.24,1.7%,16.0%,7.4%,8.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Baba Kosuke,44,3,0,0,10,0,0,198,47.1,43,5,39,17,1,0,0,23,20,3.80,3.96,3.69,1.27,91,104,101,-0.16,2.5%,19.7%,8.6%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Chen Wei-Yin,2,1,0,0,0,0,0,39,9.1,10,0,7,3,0,0,0,5,4,3.86,2.62,3.77,1.39,90,69,103,1.24,0.0%,17.9%,7.7%,10.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Edwards Jon,7,0,0,0,0,0,0,31,7.0,6,1,7,4,0,0,0,3,2,2.57,4.72,3.83,1.43,135,124,105,-2.15,3.2%,22.6%,12.9%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fujinami Shintaro,21,3,3,0,4,0,0,238,48.1,47,4,52,40,0,4,8,29,28,5.21,4.81,4.30,1.80,66,127,118,0.40,1.7%,21.8%,16.8%,5.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Gunkel Joe,20,9,3,0,0,0,0,465,113.0,99,10,87,24,1,3,0,39,37,2.95,3.48,3.45,1.09,117,92,95,-0.53,2.2%,18.7%,5.2%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Hamachi Masumi,4,0,0,0,0,0,0,26,6.0,8,0,6,2,1,0,2,3,3,4.50,2.15,3.26,1.67,77,57,89,2.35,0.0%,23.1%,7.7%,15.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ishii Daichi,18,0,1,0,0,0,0,75,17.1,17,3,16,6,1,0,1,12,12,6.23,4.60,3.47,1.33,55,121,95,1.63,4.0%,21.3%,8.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itoh Masashi,23,10,7,0,1,1,0,557,140.1,119,15,79,34,3,3,1,42,38,2.44,4.21,3.99,1.09,142,111,109,-1.77,2.7%,14.2%,6.1%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwasada Yuta,46,4,0,0,12,0,0,174,38.2,42,4,33,14,2,3,1,21,20,4.66,4.11,3.71,1.45,74,108,102,0.55,2.3%,19.0%,8.0%,11.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwata Minoru,3,0,0,0,0,0,0,13,3.0,3,0,3,0,0,1,1,0,0,0.00,2.15,2.49,1.00,999,57,68,-2.15,0.0%,23.1%,0.0%,23.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwazaki Suguru,62,3,4,1,41,0,0,230,57.2,47,6,51,15,2,0,3,21,17,2.65,3.52,3.23,1.08,130,93,88,-0.87,2.6%,22.2%,6.5%,15.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kajiya Ren,7,1,2,0,1,0,0,29,5.2,7,1,3,1,0,1,0,6,5,7.94,5.45,4.11,1.41,44,143,113,2.49,3.4%,10.3%,3.4%,6.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kobayashi Keisuke,22,0,1,0,4,0,0,86,20.0,17,1,16,11,1,0,0,8,5,2.25,3.85,4.22,1.40,154,101,116,-1.60,1.2%,18.6%,12.8%,5.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kuwahara Kentaro,7,0,0,0,0,0,0,33,7.0,8,2,7,4,0,1,1,7,7,9.00,7.01,3.89,1.71,38,184,107,1.99,6.1%,21.2%,12.1%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Moriya Kouki,2,0,0,0,0,0,0,16,3.0,5,1,3,1,0,1,0,4,4,12.00,7.49,3.55,2.00,29,197,97,4.51,6.2%,18.8%,6.2%,12.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Murakami Shoki,2,0,1,0,0,0,0,30,5.1,9,3,0,5,0,0,1,10,10,16.88,13.28,6.47,2.63,20,349,177,3.60,10.0%,0.0%,16.7%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Niho Akira,4,1,1,0,0,0,0,70,15.1,17,3,9,7,0,1,1,10,9,5.28,6.09,4.51,1.57,65,160,124,-0.81,4.3%,12.9%,10.0%,2.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Junya,2,1,1,0,0,0,0,34,8.0,4,0,2,7,0,0,0,3,3,3.38,5.28,6.27,1.38,102,139,172,-1.90,0.0%,5.9%,20.6%,-14.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Yuki,24,6,9,0,0,2,0,610,143.2,143,12,95,40,6,4,2,68,60,3.76,3.84,3.90,1.27,92,101,107,-0.08,2.0%,15.6%,6.6%,9.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ogawa Ippei,19,1,0,0,2,0,0,83,21.1,15,2,19,7,0,0,0,7,7,2.95,3.57,3.35,1.03,117,94,92,-0.62,2.4%,22.9%,8.4%,14.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ono Taiki,12,0,0,0,0,0,0,71,14.2,17,1,14,8,0,1,0,13,13,7.98,3.97,3.95,1.70,43,104,108,4.01,1.4%,19.7%,11.3%,8.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Oyokawa Masaki,39,2,3,0,10,0,0,169,39.0,31,4,38,24,4,2,4,18,16,3.69,4.54,3.97,1.41,94,119,109,-0.85,2.4%,22.5%,14.2%,8.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Saitoh Yukiya,19,1,1,0,1,0,0,103,23.1,23,1,26,12,0,0,3,14,12,4.63,3.02,3.44,1.50,75,79,94,1.61,1.0%,25.2%,11.7%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Suarez Robert,62,1,1,42,0,0,0,229,62.1,40,0,58,8,2,0,1,9,8,1.16,1.68,2.62,0.77,298,44,72,-0.52,0.0%,25.3%,3.5%,21.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Takahashi Haruto,7,4,2,0,0,2,2,181,49.0,30,1,55,5,0,0,0,10,9,1.65,1.48,2.04,0.71,210,39,56,0.17,0.6%,30.4%,2.8%,27.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Yuasa Atsuki,3,0,0,0,0,0,0,21,3.0,10,0,2,2,0,0,2,7,6,18.00,3.82,4.80,4.00,19,101,132,14.18,0.0%,9.5%,9.5%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Bird Kyle,33,0,0,0,11,0,0,98,21.2,21,0,21,13,0,2,0,11,11,4.57,3.29,3.98,1.57,75,87,109,1.28,0.0%,21.4%,13.3%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Corniel Robert,50,1,2,0,10,0,0,269,61.1,56,8,79,28,0,3,1,31,26,3.82,3.79,2.90,1.37,90,101,79,0.03,3.0%,29.4%,10.4%,19.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Endoh Atsushi,2,0,0,0,0,0,0,36,6.2,9,2,11,6,0,1,0,6,5,6.75,6.90,3.41,2.25,51,183,93,-0.15,5.6%,30.6%,16.7%,13.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Franzua Geronimo,8,1,2,0,1,0,0,31,5.2,9,1,5,5,1,0,0,6,6,9.53,6.33,4.80,2.47,36,168,132,3.20,3.2%,16.1%,16.1%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Fujii Reira,5,0,0,0,0,0,0,32,5.2,11,1,7,3,0,1,0,8,8,12.71,5.09,3.55,2.47,27,135,97,7.62,3.1%,21.9%,9.4%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Horie Atsuya,51,5,4,0,17,0,0,202,42.1,48,4,29,25,2,1,3,25,20,4.25,4.85,4.60,1.72,81,129,126,-0.60,2.0%,14.4%,12.4%,2.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kemna Makoto,40,2,2,0,12,0,0,175,39.1,45,4,28,15,1,2,2,20,20,4.58,4.35,4.06,1.53,75,116,111,0.23,2.3%,16.0%,8.6%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kikuchi Yasunori,33,2,1,0,3,0,0,140,31.2,31,3,25,13,2,3,0,7,6,1.71,4.32,3.94,1.39,200,115,108,-2.61,2.1%,17.9%,9.3%,8.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kobayashi Tatsuto,1,0,0,0,0,0,0,20,3.2,6,0,6,2,0,0,1,6,4,9.82,1.52,2.80,2.18,35,40,77,8.30,0.0%,30.0%,10.0%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kuri Aren,25,13,9,0,0,2,0,647,149.0,150,18,102,51,1,8,4,73,63,3.81,4.54,4.01,1.35,90,121,110,-0.73,2.8%,15.8%,7.9%,7.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kuribayashi Ryoji,53,0,1,37,0,0,0,201,52.1,23,1,81,28,2,1,1,5,5,0.86,1.97,2.16,0.97,398,52,59,-1.11,0.5%,40.3%,13.9%,26.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Morishita Masato,24,8,7,0,0,1,1,672,163.1,144,16,132,52,3,3,6,55,54,2.98,3.82,3.61,1.20,115,102,99,-0.84,2.4%,19.6%,7.7%,11.9%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Moriura Daisuke,54,3,3,0,17,0,0,206,48.1,39,3,41,21,1,4,3,18,17,3.17,3.82,3.83,1.24,108,102,105,-0.65,1.5%,19.9%,10.2%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nakamura Yuta,3,0,3,0,0,0,0,65,13.0,21,3,6,5,0,0,0,17,16,11.08,6.38,4.65,2.00,31,170,127,4.70,4.6%,9.2%,7.7%,1.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nakata Ren,23,0,0,0,6,0,0,89,19.0,20,3,16,12,0,1,2,14,10,4.74,5.57,4.35,1.68,72,148,119,-0.83,3.4%,18.0%,13.5%,4.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nakazaki Shota,4,0,0,0,0,0,0,24,4.0,9,0,1,2,0,0,0,8,6,13.50,4.15,5.22,2.75,25,110,143,9.35,0.0%,4.2%,8.3%,-4.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Neverauskas Dovydas,1,0,1,0,0,0,0,15,2.2,3,0,2,5,0,0,1,3,3,10.13,7.28,6.80,3.00,34,194,186,2.85,0.0%,13.3%,33.3%,-20.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nomura Yusuke,8,0,4,0,0,0,0,171,35.2,48,6,29,17,2,2,2,25,25,6.31,5.31,4.10,1.82,54,141,112,1.00,3.5%,17.0%,9.9%,7.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ohmichi Haruki,24,4,4,0,3,0,0,230,53.0,50,4,35,25,0,2,1,30,28,4.75,4.34,4.37,1.42,72,115,120,0.41,1.7%,15.2%,10.9%,4.3%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ohsera Daichi,23,10,5,0,0,1,1,600,146.2,136,12,102,31,2,5,1,57,50,3.07,3.56,3.62,1.14,111,95,99,-0.49,2.0%,17.0%,5.2%,11.8%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Shimauchi Sotaro,51,0,2,0,15,0,0,205,49.0,44,4,51,14,0,0,2,20,17,3.12,2.99,3.00,1.18,110,79,82,0.13,2.0%,24.9%,6.8%,18.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Takahashi Kouya,15,5,7,0,0,0,0,326,73.1,85,9,54,24,0,2,1,44,43,5.28,4.34,3.88,1.49,65,115,106,0.94,2.8%,16.6%,7.4%,9.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Takahashi Mikiya,27,0,0,0,0,0,0,108,26.1,20,3,16,10,0,1,1,10,4,1.37,4.67,4.24,1.14,250,124,116,-3.30,2.8%,14.8%,9.3%,5.5%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tamamura Shogo,17,4,7,0,0,0,0,432,101.0,95,13,67,40,2,1,0,47,43,3.83,4.72,4.18,1.34,89,125,115,-0.89,3.0%,15.5%,9.3%,6.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tokoda Hiroki,16,5,4,0,1,1,1,374,87.1,91,5,80,24,0,2,1,32,31,3.19,2.96,3.30,1.32,107,79,90,0.23,1.3%,21.4%,6.4%,15.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Yabuta Kazuki,1,0,0,0,0,0,0,20,4.2,3,0,2,5,0,0,1,2,2,3.86,5.51,6.30,1.71,89,146,173,-1.65,0.0%,10.0%,25.0%,-15.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Yasaki Takuya,4,0,0,0,0,0,0,34,7.0,7,1,6,7,0,0,0,9,9,11.57,6.30,5.09,2.00,30,167,139,5.27,2.9%,17.6%,20.6%,-3.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ariyoshi Yuki,1,0,1,0,0,0,0,27,6.2,8,1,3,0,0,0,0,2,2,2.70,4.20,3.69,1.20,135,105,101,-1.50,3.7%,11.1%,0.0%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Azuma Katsuki,3,1,2,0,0,0,0,75,19.2,10,1,20,4,0,0,0,5,5,2.29,2.39,2.67,0.71,159,60,73,-0.10,1.3%,26.7%,5.3%,21.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Escobar Edwin,61,4,4,1,32,0,0,229,58.2,39,7,50,11,0,4,0,23,22,3.38,3.77,3.10,0.85,108,94,85,-0.39,3.1%,21.8%,4.8%,17.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Hamaguchi Haruhiro,17,5,7,0,0,1,1,387,91.1,73,8,84,52,1,3,5,42,40,3.94,4.26,3.97,1.37,92,107,109,-0.32,2.1%,21.7%,13.4%,8.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Hirata Shingo,38,2,0,1,3,0,0,185,41.2,41,6,34,21,1,2,1,21,19,4.10,5.05,4.10,1.49,89,126,112,-0.95,3.2%,18.4%,11.4%,7.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ikeya Sota,6,0,0,0,0,0,0,25,6.2,2,0,2,2,0,1,0,0,0,0.00,3.90,4.80,0.60,999,98,132,-3.90,0.0%,8.0%,8.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Imanaga Shota,19,5,5,0,0,1,0,476,120.0,97,16,110,26,3,4,0,43,41,3.08,3.80,3.04,1.02,118,95,83,-0.72,3.4%,23.1%,5.5%,17.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Irie Taisei,4,0,4,0,0,0,0,80,18.1,22,4,14,5,0,1,1,18,16,7.85,5.44,3.68,1.47,46,136,101,2.41,5.0%,17.5%,6.2%,11.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ise Hiromu,39,0,1,0,6,0,0,144,35.1,30,0,38,15,2,1,2,11,11,2.80,2.36,3.20,1.27,130,59,88,0.44,0.0%,26.4%,10.4%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ishida Kenta,33,1,2,0,2,0,0,168,37.2,44,4,39,18,1,2,1,24,24,5.73,4.06,3.55,1.65,63,102,97,1.67,2.4%,23.2%,10.7%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kamichatani Taiga,8,1,3,0,0,0,0,155,34.0,37,5,26,17,1,1,1,27,27,7.15,5.12,4.22,1.59,51,128,116,2.03,3.2%,16.8%,11.0%,5.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kasai Takamasa,1,0,0,0,0,0,0,11,1.0,5,1,1,2,0,1,0,6,6,54.00,23.15,5.71,7.00,7,579,156,30.85,9.1%,9.1%,18.2%,-9.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kazahari Ren,5,0,0,0,0,0,0,33,7.0,12,2,6,0,0,0,0,6,6,7.71,5.15,2.98,1.71,47,129,82,2.56,6.1%,18.2%,0.0%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kuniyoshi Yuki,18,1,1,0,0,0,0,125,29.2,24,1,37,13,1,1,1,18,17,5.16,2.51,2.88,1.25,70,63,79,2.65,0.8%,29.6%,10.4%,19.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Kyoyama Masaya,16,2,7,0,0,0,0,353,76.0,91,9,67,41,2,2,3,47,42,4.97,4.63,4.06,1.74,73,116,111,0.34,2.5%,19.0%,11.6%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Mikami Tomoya,40,2,1,0,3,0,0,148,35.0,36,5,25,9,1,1,0,15,15,3.86,4.44,3.72,1.29,94,111,102,-0.58,3.4%,16.9%,6.1%,10.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Mishima Kazuki,59,3,5,23,1,0,0,246,57.1,66,8,57,12,1,0,3,31,26,4.08,3.61,2.97,1.36,89,90,81,0.47,3.3%,23.2%,4.9%,18.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miyaguni Ryosuke,3,1,1,0,0,0,0,68,16.0,18,3,14,5,0,0,0,11,11,6.19,4.78,3.48,1.44,59,120,95,1.41,4.4%,20.6%,7.4%,13.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Mutoh Yuta,1,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.85,-5.20,0.00,999,-71,-142,2.85,0.0%,100.0%,0.0%,100.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Nakagawa Koh,7,0,1,0,0,0,0,122,26.1,32,3,24,15,0,0,1,22,19,6.49,4.52,4.06,1.78,56,113,111,1.97,2.5%,19.7%,12.3%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ohnuki Shinichi,22,6,7,0,0,0,0,499,112.0,137,9,106,30,2,3,3,57,54,4.34,3.19,3.28,1.49,84,80,90,1.15,1.8%,21.2%,6.0%,15.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Peoples Michael,18,3,4,0,0,0,0,191,47.0,41,5,41,14,0,2,0,23,22,4.21,3.81,3.39,1.17,86,95,93,0.40,2.6%,21.5%,7.3%,14.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Romero Fernando,14,5,3,0,0,1,1,349,80.2,89,4,44,30,0,5,4,38,27,3.01,4.01,4.40,1.48,121,100,121,-1.00,1.1%,12.6%,8.6%,4.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sakaguchi Kousuke,8,2,3,0,0,0,0,160,35.0,37,4,18,19,0,1,3,20,16,4.11,5.32,4.86,1.60,88,133,133,-1.21,2.5%,11.2%,11.9%,-0.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sakamoto Yuya,16,4,6,0,0,0,0,310,70.1,89,9,46,22,0,3,2,43,41,5.25,4.57,4.03,1.58,69,114,110,0.68,2.9%,14.8%,7.1%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sakurai Shuto,30,0,1,0,1,0,0,181,41.0,36,3,37,29,1,0,3,15,14,3.07,4.42,4.36,1.59,118,111,119,-1.35,1.7%,20.4%,16.0%,4.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Shackelford Kevin,32,1,0,1,4,0,0,141,31.1,28,3,34,16,0,5,4,19,18,5.17,4.24,3.52,1.40,70,106,96,0.93,2.1%,24.1%,11.3%,12.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Shindoh Takuya,2,0,0,0,0,0,0,6,1.0,0,0,1,1,0,2,0,0,0,0.00,10.15,4.80,1.00,999,254,132,-10.15,0.0%,16.7%,16.7%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sunada Yoshiki,58,2,2,0,18,0,0,166,41.2,26,1,27,13,2,2,2,15,15,3.24,3.25,3.96,0.94,112,81,108,-0.01,0.6%,16.3%,7.8%,8.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
